Nomor	Tanggal	Cabang	Area	Jumlah Teller	Jumlah Transaksi Teller	Rata-Rata Transaksi per Teller	Keterangan Teller	Jumlah CS	Jumlah Transaksi CS	Rata-Rata Transaksi CS	Jenis Transaksi Dominan Teller	Jenis Transaksi Dominan CS	Nasabah Teller terakhir dilayani	Nasabah CS Terakhir dilayani
346	03/08/2021	Soreang	BAA	3	350	117	Medium	3	80	27	Setor	Buka rekening	15.00	15.30
347	03/08/2021	Taman Kopo Indah	BAA	3	290	97	Under	3	70	23	Setoran, billpayment, pinbuk	Buka rekening,,Indikasi penipuan	15.30	15.30
348	03/08/2021	Dayeuhkolot	BAA	3	267	89	Under	3	86	29	setor tunai	buka rekening dan daftar 	15.30	16.55
349	03/08/2021	Pasir Kaliki	BAA	2	204	102	Medium	1	15	15	Setoran tunai	Ganti atm	15.00	15.00
350	03/08/2021	Majalaya	BAA	3	332	111	Medium	3	38	13	Setor	Buka rekening	15.45	15.30
351	03/08/2021	Banjaran	BAA	2	185	93	Under	3	100	33	Setoran	Buka rek	16.30	16.30
352	03/08/2021	Pangalengan	BAA	1	140	140	Medium	1	45	45	Setoran tunai	Ganti kartu	15.00	15.30
353	04/08/2021	Asia Afrika Utara	BAA	4	563	141	Medium	4	44	11	setoran	ganti atm	15.00	15.30
354	04/08/2021	Soekarno-Hatta	BAA	3	419	140	Medium	4	50	13	Setor tunai	Penggantian kartu atm	15.30	15.30
355	04/08/2021	Binacitra	BAA	3	240	80	Under	3	30	10	setoran	ganti kartu	15.00	15.00
356	04/08/2021	Metro	BAA	3	464	155	Optimum	2	65	33	Setor	Kartu atm	15.00	15.15
357	04/08/2021	Kiara Condong	BAA	2	182	91	Under	2	46	23	setor tunai	ganti kartu dan daftar 	14.45	15.05
358	04/08/2021	Buah Batu	BAA	3	273	91	Under	4	56	14	setor - tarik	ganti kartu	15.15	15.00
359	04/08/2021	Siliwangi	BAA	2	257	129	Medium	4	50	13	Penarikan dan pencairan cek	Penggantian Kartu Debit	14.37	14.51
360	04/08/2021	Alun-Alun	BAA	3	110	37	Under	3	19	6	Setor tunai	Ganti Kartu	15.00	15.00
361	04/08/2021	Sumbersari	BAA	3	67	22	Under	3	79	26	Setor tunai	Ganti kartu atm	15.00	15.10
362	04/08/2021	Burangrang	BAA	2	297	149	Medium	1	33	33	Pembayaran multipayment	Penggantian ATM	15.00	15.00
363	04/08/2021	Mohamad Toha	BAA	2	247	124	Medium	2	49	25	Setoran Tunai	Ganti kartu ATM	15.05	15.30
364	04/08/2021	Soreang	BAA	3	320	107	Medium	3	90	30	Setoran	Buka rekening	15.00	15.12
365	04/08/2021	Taman Kopo Indah	BAA	3	387	129	Medium	3	67	22	Setor tunai	Buka rekening, ganti atm	16.10	16.05
366	04/08/2021	Dayeuhkolot	BAA	3	211	70	Under	3	54	18	setor tunai	pendaftaran 	15.00	16.00
367	04/08/2021	Pasir Kaliki	BAA	2	187	94	Under	1	20	20	setor tunai	ganti atm	14.30	14.30
368	04/08/2021	Majalaya	BAA	3	241	80	Under	3	38	13	Setor	Buka rekening	15.35	15.35
369	04/08/2021	Banjaran	BAA	2	175	88	Under	3	100	33	Setoran	Buka rekening	16.00	16.00
370	04/08/2021	Pangalengan	BAA	1	136	136	Medium	1	36	36	Setoran tunai	Ganti kartu	15.30	15.30
371	05/08/2021	Asia Afrika Utara	BAA	4	603	151	Optimum	4	60	15	Transfer Antar Bank	Penggantian kartu 	16.50	15.15
372	05/08/2021	Soekarno-Hatta	BAA	3	796	265	Over	3	45	15	Setor tunai	Buka rekening	15.00	15.00
373	05/08/2021	Binacitra	BAA	3	260	87	Under	3	16	5	setoran	ganti kartu	15.00	15.00
374	05/08/2021	Metro	BAA	3	540	180	Over	3	80	27	setoran tunai	ganti kartu	15.00	15.00
375	05/08/2021	Kiara Condong	BAA	2	314	157	Optimum	2	40	20	setor tunai	ganti kartu	15.30	14.40
376	05/08/2021	Buah Batu	BAA	3	173	58	Under	3	47	16	setor tarik	ganti kartu	15.00	15.00
377	05/08/2021	Siliwangi	BAA	2	205	103	Medium	4	40	10	Penarikan dan pencairan cek	Penggantian Kartu Debit	14.42	14.55
378	05/08/2021	Alun-Alun	BAA	3	228	76	Under	3	25	8	Setor tarik dan skn	Ganti kartu, buka rekening,	15.00	15.00
379	05/08/2021	Sumbersari	BAA	3	68	23	Under	3	74	25	Setor tunai	Ganti kartu atm	15.00	15.15
380	05/08/2021	Jamika	BAA	2	163	82	Under	2	47	24	Setor Tunai, Multipayment	Ganti Kartu ATM	14.50	15.15
381	05/08/2021	Burangrang	BAA	2	244	122	Medium	2	24	12	Setoran 	Ganti ATM	15.00	15.00
382	05/08/2021	Mohamad Toha	BAA	2	270	135	Medium	2	25	13	Setoran Tunai	Ganti Kartu ATM	14.50	14.45
383	05/08/2021	Soreang	BAA	3	302	101	Medium	3	112	37	Setoran	Ganti kartu dan buka rekening	15.00	15.00
384	05/08/2021	Taman Kopo Indah	BAA	3	87	29	Under	3	61	20	Pajak, setoran tunai	Ganti atm, ebanking	15.30	15.40
385	05/08/2021	Dayeuhkolot	BAA	2	228	114	Medium	3	73	24	setor tunai	ganti kartu	15.00	16.00
386	05/08/2021	Pasir Kaliki	BAA	2	163	82	Under	1	18	18	Setoran tunai	Ganti atm	15.00	14.45
387	05/08/2021	Majalaya	BAA	3	673	224	Over	3	43	14	Setor dan payroll	Buka rekening	15.15	15.00
388	05/08/2021	Banjaran	BAA	2	115	58	Under	2	78	39	Setoran	Buka rek	15.45	15.45
389	05/08/2021	Pangalengan	BAA	1	165	165	Optimum	1	35	35	Setoran tunai	Ganti kartu	15.00	15.00
390	06/08/2021	Asia Afrika Utara	BAA	5	766	153	Optimum	4	68	17	Skn , tarik tunai , tt , pemb bpjs	Ganti kartu, m-banking, buka rekening, CRM	16.15	15.35
391	06/08/2021	Soekarno-Hatta	BAA	4	441	110	Medium	4	63	16	Transfer dan setor	Buka rekening +  online , ganti kartu	15.01	15.10
392	06/08/2021	Binacitra	BAA	3	280	93	Under	3	29	10	setoran	ganti kartu	15.30	15.30
393	06/08/2021	Metro	BAA	4	435	109	Medium	3	80	27	Setor spbu	Aktivasi  and ganti kartu	16.00	16.00
394	06/08/2021	Kiara Condong	BAA	2	285	143	Medium	2	50	25	setor tunai 	ganti kartu	15.10	14.55
395	06/08/2021	Buah Batu	BAA	3	245	82	Under	4	47	12	Tarik dan setor tunai	Ganti kartu 	15.30	16.30
396	06/08/2021	Siliwangi	BAA	2	367	184	Over	4	50	13	Penarikan dan pencairan cek	Penggantian Kartu Debit	14.56	14.15
397	06/08/2021	Alun-Alun	BAA	3	313	104	Medium	3	13	4	Setor tarik	Ganti kartu	15.15	15.15
398	06/08/2021	Sumbersari	BAA	3	68	23	Under	3	74	25	Setor tunai	Ganti kartu atm	15.00	15.15
399	06/08/2021	Jamika	BAA	2	270	135	Medium	2	43	22	Setor Tunai, Multipayment	Ganti Kartu ATM	15.05	15.10
400	06/08/2021	Burangrang	BAA	2	248	124	Medium	2	25	13	Setoran tunai	Penggantian ATM	15.00	15.00
401	06/08/2021	Mohamad Toha	BAA	2	335	168	Optimum	2	39	20	Setoran Tunai	Ganti kartu ATM	15.10	14.50
402	06/08/2021	Soreang	BAA	3	301	100	Medium	2	81	41	Setror	Buka rekening	15.00	15.48
403	06/08/2021	Taman Kopo Indah	BAA	3	352	117	Medium	3	58	19	Setor tunai, tarik tunai	Ganti atm	16.10	15.45
404	06/08/2021	Dayeuhkolot	BAA	2	281	141	Medium	3	75	25	setor tunai	penggantian kartu	15.30	16.00
405	06/08/2021	Pasir Kaliki	BAA	2	236	118	Medium	1	19	19	Setoran tunai	Ganti atm	15.00	15.00
406	06/08/2021	Majalaya	BAA	3	558	186	Over	2	47	24	Setor dan payroll	Buka rekening	15.50	15.30
407	06/08/2021	Banjaran	BAA	2	179	90	Under	3	78	26	Setoran	Ganti atm	16.00	16.00
408	06/08/2021	Pangalengan	BAA	1	160	160	Optimum	1	35	35	Penarikan	Ganti kartu	15.30	15.00
409	09/08/2021	Asia Afrika Utara	BAA	4	540	135	Medium	4	71	18	Setor	Ganti kartu	15.00	15.15
410	09/08/2021	Soekarno-Hatta	BAA	3	443	148	Medium	4	48	12	Setor tunai	Pergantian kartu	15.00	15.00
411	09/08/2021	Binacitra	BAA	3	380	127	Medium	2	45	23	setoran	ganti kartu	15.00	15.00
412	09/08/2021	Metro	BAA	3	380	127	Medium	3	80	27	Setor spbu	Aktivasi , ganti kartu	16.00	16.00
413	09/08/2021	Kiara Condong	BAA	2	317	159	Optimum	2	58	29	Pembayaran bpjs	ganti kartu dand daftar 	15.05	14.50
414	09/08/2021	Buah Batu	BAA	3	255	85	Under	4	57	14	setor	Ganti kartu 	15.00	15.15
415	09/08/2021	Siliwangi	BAA	2	353	177	Over	4	70	18	Setoran dan penarikan	Penggantian Kartu Debit	14.45	15.15
416	09/08/2021	Alun-Alun	BAA	3	315	105	Medium	3	20	7	Setor skn	Ganti kartu, buka rek	15.00	15.00
417	09/08/2021	Sumbersari	BAA	3	92	31	Under	3	42	14	Setor tunai	Ganti kartu atm	15.00	15.30
418	09/08/2021	Jamika	BAA	3	310	103	Medium	2	75	38	Skn, rgts, skn	Ganti Kartu, burek	16.30	17.00
419	09/08/2021	Burangrang	BAA	2	240	120	Medium	2	39	20	Setoran tunai	Ganti ATM	15.00	15.00
420	09/08/2021	Mohamad Toha	BAA	2	293	147	Medium	2	40	20	Setoran Tunai	Ganti kartu ATM	14.50	14.30
421	09/08/2021	Soreang	BAA	3	302	101	Medium	3	86	29	Setor	Buka rekening	15.02	15.02
422	09/08/2021	Taman Kopo Indah	BAA	3	424	141	Medium	3	65	22	Setor tunai, penarikan	Buka blokir atm, ganti atm, buka rekening	15.53	16.05
423	09/08/2021	Dayeuhkolot	BAA	3	334	111	Medium	3	70	23	setor tunai	penggantian kartu dan pendaftaran 	15.00	15.30
424	09/08/2021	Pasir Kaliki	BAA	2	248	124	Medium	1	31	31	Setoran tunai	Ganti atm	15.00	15.00
425	09/08/2021	Majalaya	BAA	3	437	146	Medium	3	52	17	Setor	Ganti kartu	16.30	16.00
426	09/08/2021	Banjaran	BAA	2	175	88	Under	3	85	28	Setor	Ganti kartu	16.05	16.00
427	09/08/2021	Pangalengan	BAA	1	186	186	Over	1	35	35	Setoran tunai	Ganti kartu	15.30	15.30
428	10/08/2021	Asia Afrika Utara	BAA	4	496	124	Medium	4	69	17	setor	ganti kartu	15.15	15.40
429	10/08/2021	Soekarno-Hatta	BAA	4	467	117	Medium	4	68	17	Setor tunai	Penggantian kartu atm	15.00	15.00
430	10/08/2021	Binacitra	BAA	3	335	112	Medium	3	40	13	setoran	ganti kartu	15.00	15.00
431	10/08/2021	Metro	BAA	3	362	121	Medium	3	87	29	Setoran spbu	Ganti atm, aktivasi 	16.00	16.00
432	10/08/2021	Kiara Condong	BAA	2	204	102	Medium	2	57	29	setor tunai dan pembayaran	ganti kartu	14.55	14.40
433	10/08/2021	Buah Batu	BAA	3	250	83	Under	3	40	13	setor	ganti kartu	15.00	15.00
434	10/08/2021	Siliwangi	BAA	2	187	94	Under	4	43	11	Pencairan Cek dan Kliring	Penggantian Kartu Debit	14.53	15.02
435	10/08/2021	Alun-Alun	BAA	3	166	55	Under	3	25	8	Setor tarik	Ganti kartu	15.00	15.00
436	10/08/2021	Sumbersari	BAA	3	42	14	Under	3	45	15	Setor tunai	Ganti kartu atm	15.00	15.00
437	10/08/2021	Jamika	BAA	3	216	72	Under	2	54	27	Tarik, setor, pembayaran	Ganti kartu, daftar mbanking, burek	15.10	15.07
438	10/08/2021	Burangrang	BAA	2	236	118	Medium	2	38	19	Setoran tunai 	Ganti ATM	15.00	15.00
439	10/08/2021	Mohamad Toha	BAA	2	253	127	Medium	2	31	16	Setoran tunai	Ganti kartu ATM	14.50	14.30
440	10/08/2021	Soreang	BAA	3	302	101	Medium	3	97	32	Setoran	Buka rekening	15.00	15.00
441	10/08/2021	Taman Kopo Indah	BAA	3	340	113	Medium	3	75	25	Setoran dan tarik tunai	Buka rekening,  dan Upgrade chip	15.30	15.30
442	10/08/2021	Dayeuhkolot	BAA	3	270	90	Under	3	65	22	setor tunai	penggantian kartu	15.30	16.00
443	10/08/2021	Pasir Kaliki	BAA	2	150	75	Under	1	15	15	Setor tunai	Ganti atm	15.00	15.00
444	10/08/2021	Majalaya	BAA	3	288	96	Under	3	45	15	Setor	Buka rekening	16.00	15.50
445	10/08/2021	Banjaran	BAA	2	185	93	Under	3	90	30	Penarikan	Ganti kartu atm	16.00	16.00
446	10/08/2021	Pangalengan	BAA	1	101	101	Medium	1	35	35	Setor tunai	Ganti kartu	15.30	15.50
447	12/08/2021	Asia Afrika Utara	BAA	4	453	113	Medium	5	68	14	setor tunai	ganti atm	15.14	16.05
448	12/08/2021	Soekarno-Hatta	BAA	4	408	102	Medium	4	62	16	Setor tunai	Pembukaan rekening	15.30	15.30
449	12/08/2021	Binacitra	BAA	3	324	108	Medium	3	50	17	Setoran	Ganti kartu	15.00	15.00
450	12/08/2021	Metro	BAA	3	350	117	Medium	2	80	40	Setoran	Pembukaan rekening dan penggantian kartu	15.00	16.00
451	12/08/2021	Kiara Condong	BAA	2	285	143	Medium	3	105	35	setor tunai	ganti kartu dan buka rekening	15.00	15.15
452	12/08/2021	Buah Batu	BAA	2	217	109	Medium	3	62	21	penarikan	ganti kartu	15.30	16.14
453	12/08/2021	Siliwangi	BAA	2	254	127	Medium	4	56	14	Setoran dan SKN	Penggantian Kartu Debit	14.48	14.57
454	12/08/2021	Alun-Alun	BAA	3	242	81	Under	3	3	1	Skn	Ganti kartu	15.00	15.00
455	12/08/2021	Sumbersari	BAA	3	60	20	Under	3	58	19	Setor tunai	Ganti kartu atm	15.00	15.10
456	12/08/2021	Jamika	BAA	3	323	108	Medium	2	87	44	SKN RTGS setoran tarik tunai	Ganti kartu, buka blokir, pembukaan rekening	16.25	17.38
457	12/08/2021	Burangrang	BAA	2	199	100	Under	2	44	22	Penarikan tunai	Ganti atm	15.00	15.00
458	12/08/2021	Mohamad Toha	BAA	2	355	178	Over	2	53	27	Setoran Tunai	Ganti Kartu ATM	15.10	15.05
459	12/08/2021	Soreang	BAA	3	302	101	Medium	3	86	29	Setor	Buka rekening	15.00	15.00
460	12/08/2021	Taman Kopo Indah	BAA	3	281	94	Under	3	73	24	Penarikan	Buka rekening, daftar mbanking	16.05	15.57
461	12/08/2021	Dayeuhkolot	BAA	3	198	66	Under	3	90	30	setor tunai	penggantian kartu	15.30	16.15
462	12/08/2021	Pasir Kaliki	BAA	2	153	77	Under	1	25	25	Setor tunai	Ganti atm	15.00	15.00
463	12/08/2021	Majalaya	BAA	3	325	108	Medium	3	48	16	setor	Ganti kartu	15.00	15.10
464	12/08/2021	Banjaran	BAA	2	250	125	Medium	2	100	50	Setoran	Buka rek	17.00	17.00
465	12/08/2021	Pangalengan	BAA	1	160	160	Optimum	1	35	35	Setoran tunai	Ganti kartu	15.30	15.00
466	13/08/2021	Asia Afrika Utara	BAA	5	563	113	Medium	4	74	19	setor	ganti kartu	15.30	15.50
467	13/08/2021	Soekarno-Hatta	BAA	3	554	185	Over	4	65	16	Setor tunai	Penggantian kartu atm	15.00	15.00
468	13/08/2021	Binacitra	BAA	3	330	110	Medium	3	45	15	setoran	ganti kartu	15.00	15.00
469	13/08/2021	Metro	BAA	3	311	104	Medium	3	80	27	Setoran tunai	Buka rekening dan ganti atm	15.30	15.00
470	13/08/2021	Kiara Condong	BAA	2	267	134	Medium	3	3	1	Setoran tunai	Ganti kartu dan daftar  by 	15.10	14.50
471	13/08/2021	Buah Batu	BAA	2	290	145	Medium	3	46	15	setor	ganti kartu	15.30	16.10
472	13/08/2021	Siliwangi	BAA	2	253	127	Medium	4	35	9	Penarikan dan SKN	Penggantian kartu debit dan pembukaan rekening	14.56	15.02
473	13/08/2021	Alun-Alun	BAA	3	190	63	Under	3	25	8	Setor tarik	Ganti kartu	15.00	15.00
474	13/08/2021	Sumbersari	BAA	3	300	100	Medium	4	65	16	Setor tunai	Ganti kartu atm	15.00	15.10
475	13/08/2021	Jamika	BAA	3	374	125	Medium	3	46	15	Skn, rtgs, setoran, transfer	Ganti kartu, buka blokir, pembukaan rekening	16.00	16.22
476	13/08/2021	Burangrang	BAA	2	232	116	Medium	2	33	17	Setor tunai 	Ganti ATM 	15.00	15.00
477	13/08/2021	Mohamad Toha	BAA	2	323	162	Optimum	2	42	21	Setoran Tunai	Ganti kartu ATM	15.05	14.55
478	13/08/2021	Soreang	BAA	3	320	107	Medium	3	81	27	Setor tunai	Buka rekening	15.00	15.30
479	13/08/2021	Taman Kopo Indah	BAA	3	347	116	Medium	3	82	27	Setoran	Ganti atm	15.30	15.28
480	13/08/2021	Dayeuhkolot	BAA	2	285	143	Medium	3	80	27	setor tunai	penggantian kartu 	15.30	16.30
481	13/08/2021	Pasir Kaliki	BAA	2	169	85	Under	1	13	13	Setoran	Ganti atm	15.00	15.00
482	13/08/2021	Majalaya	BAA	3	385	128	Medium	2	38	19	Setor	Ganti kartu	15.15	15.00
483	13/08/2021	Banjaran	BAA	2	175	88	Under	3	87	29	Setoran	Buka rek	16.20	16.20
484	13/08/2021	Pangalengan	BAA	1	145	145	Medium	1	35	35	Setoran tunai	Buka rekening	15.30	15.10
